event_type,ingestion_timestamp,event_timestamp
vp,1598132202967.8801,1598132203473.0
vp,1598132202968.221,1598132203442.0
vp,1598132202968.483,1598132203349.0
vp,1598132202969.148,1598132203478.0
vp,1598132202976.981,1598132203430.0
vp,1598132202977.209,1598132203443.0
vp,1598132202977.794,1598132203178.0
vp,1598132203001.92,1598132203494.0
vp,1598132203002.117,1598132203414.0
vp,1598132203006.653,1598132203482.0
vp,1598132203006.956,1598132203449.0
vp,1598132203009.448,1598132203491.0
vp,1598132203014.353,1598132203397.0
vp,1598132203023.157,1598132203510.0
vp,1598132203023.428,1598132203481.0
vp,1598132203031.468,1598132203521.0
vp,1598132203039.7761,1598132203488.0
vp,1598132203039.856,1598132203472.0
vp,1598132203039.937,1598132203254.0
vp,1598132203042.6172,1598132203461.0
vp,1598132203042.8591,1598132203517.0
vp,1598132203046.978,1598132203520.0
vp,1598132203054.821,1598132203535.0
vp,1598132203055.893,1598132203352.0
vp,1598132203066.488,1598132203342.0
vp,1598132203066.602,1598132203562.0
vp,1598132203070.878,1598132203562.0
vp,1598132203071.486,1598132203543.0
vp,1598132203076.815,1598132203531.0
vp,1598132203077.032,1598132203575.0
vp,1598132203078.6082,1598132203583.0
vp,1598132203081.9968,1598132203529.0
vp,1598132203082.236,1598132203565.0
vp,1598132203106.3171,1598132203328.0
vp,1598132203108.5132,1598132203592.0
vp,1598132203109.237,1598132203616.0
vp,1598132203109.353,1598132203599.0
vp,1598132203123.966,1598132203430.0
vp,1598132203124.234,1598132203580.0
vp,1598132203128.726,1598132203000.0
vp,1598132203129.25,1598132203000.0
vp,1598132203129.606,1598132203000.0
vp,1598132203130.198,1598132203538.0
vp,1598132203130.347,1598132203000.0
vp,1598132203130.6218,1598132203000.0
vp,1598132203131.063,1598132203000.0
vp,1598132203134.394,1598132203295.0
vp,1598132203134.705,1598132203000.0
vp,1598132203139.365,1598132203621.0
vp,1598132203139.589,1598132203608.0
vp,1598132203149.61,1598132203604.0
vp,1598132203149.841,1598132203577.0
vp,1598132203150.544,1598132203501.0
vp,1598132203163.877,1598132203568.0
vp,1598132203179.76,1598132203671.0
vp,1598132203187.17,1598132203597.0
vp,1598132203188.02,1598132203642.0
vp,1598132203188.078,1598132203669.0
vp,1598132203200.123,1598132203678.0
vp,1598132203205.3198,1598132203710.0
vp,1598132203205.475,1598132203700.0
vp,1598132203205.7878,1598132203687.0
vp,1598132203206.1292,1598132203696.0
vp,1598132203212.354,1598132203690.0
vp,1598132203212.524,1598132203712.0
dep,1598132203212.806,1598132203466.0
vp,1598132203236.8728,1598132203733.0
vp,1598132203237.173,1598132203605.0
vp,1598132203254.452,1598132203675.0
vp,1598132203267.274,1598132203752.0
vp,1598132203282.885,1598132203747.0
vp,1598132203283.022,1598132203774.0
vp,1598132203285.097,1598132203717.0
vp,1598132203285.1619,1598132203745.0
vp,1598132203299.1409,1598132203777.0
vp,1598132203299.227,1598132203629.0
vp,1598132203306.0,1598132203786.0
vp,1598132203306.293,1598132203828.0
vp,1598132203310.072,1598132203808.0
vp,1598132203317.043,1598132203794.0
vp,1598132203317.445,1598132203760.0
vp,1598132203332.4111,1598132203838.0
vp,1598132203339.469,1598132203792.0
vp,1598132203339.691,1598132203781.0
vp,1598132203354.452,1598132203840.0
vp,1598132203360.946,1598132203831.0
vp,1598132203361.368,1598132203850.0
vp,1598132203372.028,1598132203849.0
vp,1598132203378.87,1598132203871.0
